INFO 2025-06-02 12:26:02,448 oracle_11g 16204 18104 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:26:02,449 oracle_11g 16204 18104 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:26:02,463 oracle_11g 16204 18104 未找到数据库信息表格
WARNING 2025-06-02 12:26:02,486 oracle_11g 16204 18104 无法解析启动时间: invalid-time
INFO 2025-06-02 12:26:02,490 oracle_11g 16204 18104 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:26:02,495 oracle_11g 16204 18104 未找到数据库信息表格
WARNING 2025-06-02 12:26:02,548 oracle_11g 16204 18104 未找到Load Profile表格
WARNING 2025-06-02 12:26:02,557 oracle_11g 16204 18104 未找到快照信息表格
WARNING 2025-06-02 12:26:02,794 oracle_11g 16204 18104 等待事件表格解析为空
INFO 2025-06-02 12:26:02,801 oracle_11g 16204 18104 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:26:02,826 oracle_11g 16204 18104 未找到快照信息表格
WARNING 2025-06-02 12:26:02,854 oracle_11g 16204 18104 未找到等待事件表格
WARNING 2025-06-02 12:26:02,856 oracle_11g 16204 18104 未找到SQL统计表格
INFO 2025-06-02 12:27:23,420 oracle_11g 17952 14140 找到 3 个AWR锚点，尝试作为Oracle 11g解析
ERROR 2025-06-02 12:27:23,425 oracle_11g 17952 14140 检查Oracle 11g兼容性时出错: expected string or bytes-like object, got 'NoneType'
INFO 2025-06-02 12:27:23,429 oracle_11g 17952 14140 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:27:23,429 oracle_11g 17952 14140 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:27:23,429 oracle_11g 17952 14140 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:27:23,448 oracle_11g 17952 14140 未找到数据库信息表格
WARNING 2025-06-02 12:27:23,469 oracle_11g 17952 14140 无法解析启动时间: invalid-time
INFO 2025-06-02 12:27:23,474 oracle_11g 17952 14140 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:27:23,479 oracle_11g 17952 14140 未找到数据库信息表格
WARNING 2025-06-02 12:27:23,527 oracle_11g 17952 14140 未找到Load Profile表格
WARNING 2025-06-02 12:27:23,749 oracle_11g 17952 14140 等待事件表格解析为空
INFO 2025-06-02 12:27:23,754 oracle_11g 17952 14140 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:27:23,779 oracle_11g 17952 14140 未找到等待事件表格
